step,total_steps,loss,reward_avg,tokens_per_sec,avg_response_len
85,12000,-0.000000,1.000000,49.689943,396.875000
86,12000,-0.000000,1.000000,49.532698,178.000000
87,12000,-0.000000,1.000000,49.498473,507.875000
88,12000,-29.226818,0.750000,49.304843,538.625000
89,12000,-12.440573,0.250000,46.327169,906.750000
90,12000,-21.573940,0.500000,46.621408,985.875000
91,12000,-3.261253,0.250000,44.896706,1272.125000
92,12000,-0.000000,1.000000,50.006456,312.250000
93,12000,-0.000000,1.000000,48.797938,721.375000
94,12000,-15.230614,0.250000,46.086650,991.750000
95,12000,-0.000000,0.000000,49.783636,296.500000
96,12000,-0.000000,1.000000,49.715648,310.750000
97,12000,-0.000000,1.000000,49.493023,427.250000
98,12000,-0.000000,1.000000,48.563693,495.375000
99,12000,-0.000000,1.000000,49.592229,275.750000
100,12000,-0.000000,1.000000,49.176541,473.625000
101,12000,-0.000000,0.000000,46.748325,523.500000
102,12000,-0.000000,1.000000,49.038860,625.125000
103,12000,5.035711,0.250000,47.888633,845.125000
104,12000,-0.000000,1.000000,49.804075,212.875000
105,12000,-0.000000,1.000000,48.937526,502.250000
106,12000,-0.000000,1.000000,49.882237,277.750000
107,12000,-0.000000,1.000000,49.906716,202.750000
108,12000,-0.000000,0.000000,49.488579,218.750000
109,12000,-0.000000,1.000000,49.810295,391.625000
110,12000,-0.000000,0.000000,45.376920,1316.875000
111,12000,-0.000000,1.000000,49.833648,355.375000
112,12000,-67.287766,0.125000,44.297118,1840.125000
113,12000,-0.000000,1.000000,49.580039,260.750000
114,12000,-0.000000,1.000000,49.744998,202.000000
115,12000,-0.000000,1.000000,49.863508,238.375000
116,12000,-0.000000,1.000000,49.096384,416.000000
117,12000,-0.000000,0.000000,49.192814,531.875000
118,12000,8.858101,0.500000,49.813007,342.125000
119,12000,-0.000000,0.000000,43.226287,1193.750000
120,12000,-0.000000,1.000000,49.515306,344.875000
121,12000,-0.000000,0.000000,45.815949,1308.250000
